Country,LE_index,LE_female,LE_male,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
Afghanistan,66.29,67.81,64.7,21.30,1.36,17.70,2202.00,1.72,0.72,9.60,16.00,0.38,0.17,5.70,0.14,0.40
Albania,79.78,81.59,77.92,20.70,0.70,26.60,23488.00,5.30,0.76,47.90,39.00,0.74,0.51,2.30,1.59,5.90
Algeria,76.48,77.91,75.1,21.10,2.46,24.20,17553.00,5.36,0.61,22.40,34.00,0.66,0.36,1.50,3.89,0.80
Andorra,84.19,86.24,82.26,36.40,1.74,20.50,74940.00,5.50,0.72,67.47,42.08,0.74,1.38,5.62,4.76,5.90
Angola,64.8,67.34,62.27,17.67,1.09,10.50,8348.00,5.50,0.67,34.00,32.00,0.53,0.13,14.56,0.57,6.00
Antigua and Barbuda,77.77,80.45,74.74,17.67,1.21,34.10,33602.00,5.50,0.72,136.20,42.08,0.78,0.96,3.10,2.99,6.50
Argentina,77.54,80.02,74.98,22.60,1.45,36.00,30175.00,6.19,0.76,116.90,36.00,0.87,0.53,32.40,4.05,6.80
Armenia,75.85,79.59,71.58,24.10,0.97,27.90,22823.00,5.46,0.73,56.40,46.00,0.78,0.65,4.30,2.20,5.70
Aruba,76.5,78.92,73.85,17.67,1.74,23.48,44967.00,5.50,0.72,67.47,42.08,0.67,1.20,0.40,4.22,5.43
Australia,84.07,85.49,82.28,0.10,6.56,31.80,71193.00,7.06,0.79,145.50,76.00,0.92,4.33,3.80,15.01,4.40
Austria,82.12,84.45,79.75,22.50,1.81,17.00,71618.00,6.91,0.74,91.30,69.00,0.87,2.28,2.20,6.75,12.00
Azerbaijan,74.58,77.29,71.71,18.70,0.49,27.50,25089.00,4.89,0.69,38.90,30.00,0.71,0.60,5.70,3.61,6.00
Bahamas,74.71,78.33,71.06,17.67,1.74,23.48,41198.00,5.50,0.72,109.30,64.00,0.75,1.97,1.20,3.64,6.70
Bahrain,81.42,82.13,80.85,14.30,1.74,37.20,67211.00,5.96,0.68,97.00,50.00,0.82,1.84,1.30,24.75,1.60
Bangladesh,74.93,76.67,73.3,30.80,2.34,5.30,9647.00,3.89,0.78,31.00,24.00,0.58,0.17,8.58,0.64,0.80
Barbados,76.33,78.76,73.75,6.70,0.35,38.20,22672.00,5.50,0.79,115.90,68.00,0.79,1.19,1.70,2.39,6.70
Belarus,74.62,79.22,69.74,28.90,3.17,26.60,33006.00,5.50,0.74,102.20,31.00,0.80,0.73,6.40,6.26,18.80
Belgium,82.27,84.45,80.06,26.30,1.97,22.00,72126.00,6.89,0.77,84.50,69.00,0.92,2.46,1.45,7.77,8.10
Belize,73.74,76.66,71.08,8.30,0.43,41.90,15093.00,5.50,0.70,61.80,36.00,0.64,0.58,0.04,0.67,7.30
Benin,60.96,62.42,59.52,5.50,2.36,9.90,4435.00,4.38,0.68,30.70,45.00,0.39,0.22,0.90,0.70,6.40
Bermuda,82.49,85.87,79.06,17.67,1.74,23.48,119719.00,5.50,0.72,67.47,42.08,0.67,1.20,2.20,4.90,5.43
Bhutan,73.26,75.27,71.57,17.60,0.97,12.00,16254.00,5.50,0.66,23.40,71.00,0.56,0.18,3.37,2.19,2.10
Bolivia,68.74,71.32,66.27,11.10,2.34,27.80,11190.00,5.78,0.75,79.90,28.00,0.74,0.59,17.41,1.82,6.70
Bosnia and Herzegovina,78.04,81.07,74.65,35.20,0.64,25.50,21971.00,5.88,0.72,50.00,34.00,0.72,1.03,3.60,6.81,6.00
Botswana,69.29,71.85,66.78,17.60,1.40,17.50,20538.00,3.38,0.73,31.10,58.00,0.66,0.52,4.10,3.37,7.10
Brazil,76.02,79.15,72.95,11.10,1.08,28.80,22333.00,6.27,0.72,107.30,35.00,0.71,0.51,4.44,2.22,4.20
Brunei,75.5,77.73,73.49,16.40,0.73,32.40,90007.00,5.50,0.72,67.47,42.08,0.69,1.82,-0.20,20.59,2.30
Bulgaria,75.8,79.36,72.33,38.80,0.87,24.20,41086.00,5.46,0.71,64.40,40.00,0.77,1.05,3.30,7.34,6.90
Burkina Faso,61.29,63.43,59.11,13.10,1.42,6.10,2896.00,4.55,0.66,43.20,40.00,0.30,0.18,-2.20,0.26,1.80
Burundi,63.82,65.88,61.75,10.10,0.77,4.50,950.00,5.50,0.76,5.80,17.00,0.39,0.42,15.20,0.07,6.80
Cambodia,70.82,73.36,68.15,15.30,0.45,4.40,7970.00,4.34,0.68,58.70,20.00,0.50,0.32,1.26,1.02,5.10
